Finding best cluster expansion...
done!
Finding best cluster expansion...
2 16 1 0.00714946
2 16 1 1 0.00647915
2 20 23 3 1 0.00818588
2 20 23 6 1 0.00865571
2 20 23 9 1 0.00836083
2 20 23 11 1 0.00897054
2 20 27 0 1 0.00835375
2 20 27 1 1 0.00849944
2 20 27 3 1 0.00881806
2 20 27 6 1 0.00938885
2 20 27 9 1 0.00886099
2 20 27 11 1 0.00918548
2 20 27 15 1 0.00910227
2 20 31 0 1 0.00840139
2 20 31 1 1 0.00857386
2 20 31 3 1 0.00888406
2 20 31 6 1 0.00944999
2 20 31 9 1 0.00924155
2 20 31 11 1 0.0093893
2 20 31 15 1 0.00924562
2 20 31 19 1 0.00872844
2 20 33 0 1 0.00847753
2 20 33 1 1 0.0086703
2 20 33 3 1 0.00898123
2 20 33 6 1 0.00960755
2 20 33 9 1 0.00944919
2 20 33 11 1 0.00964375
2 20 33 15 1 0.00956865
2 20 33 19 1 0.00884646
2 20 33 22 1 0.00936927
2 20 39 0 1 0.00668605
2 20 39 1 1 0.00683451
2 20 39 3 1 0.00712389
2 20 39 6 1 0.00702841
2 20 39 9 1 0.00688603
2 20 39 11 1 0.00650923
2 20 39 15 1 0.00638895
2 20 39 19 1 0.0060108
2 20 39 22 1 0.00635115
2 20 39 32 1 4.25353e+37
2 21 0 0 1 0.00580111
2 21 1 0 1 0.00514139
2 21 3 0 1 0.00542328
2 21 6 0 1 0.00554852
2 21 6 1 1 0.00586991
2 21 8 0 1 0.00585748
2 21 8 1 1 0.00622709
2 21 10 0 1 0.00573892
2 21 10 1 1 0.0060806
2 21 14 0 1 0.00589472
2 21 14 1 1 0.0062373
2 21 14 3 1 0.00634738
2 21 18 0 1 0.00669498
2 21 18 1 1 0.00689649
2 21 18 3 1 0.00700877
2 21 18 6 1 0.00728073
2 21 21 0 1 0.00663343
2 21 21 1 1 0.00672595
2 21 21 3 1 0.0068329
2 21 21 6 1 0.00717706
2 21 21 9 1 0.0068478
2 21 23 0 1 0.00678027
2 21 23 1 1 0.00678652
2 21 23 3 1 0.0068915
2 21 23 6 1 0.0072961
2 21 23 9 1 0.00704466
2 21 23 11 1 0.00752418
2 21 27 0 1 0.0074152
2 21 27 1 1 0.00761126
2 21 27 3 1 0.00785872
2 21 27 6 1 0.00831512
2 21 27 9 1 0.00767216
2 21 27 11 1 0.0077966
2 21 27 15 1 0.00797969
2 21 31 0 1 0.00736675
2 21 31 1 1 0.00765838
2 21 31 3 1 0.00787087
2 21 31 6 1 0.00830206
2 21 31 9 1 0.00803868
2 21 31 11 1 0.00792288
2 21 31 15 1 0.00802264
2 21 31 19 1 0.00786602
2 21 33 0 1 0.00731936
2 21 33 1 1 0.00764631
2 21 33 3 1 0.00781663
2 21 33 6 1 0.00833166
2 21 33 9 1 0.00812028
2 21 33 11 1 0.00810723
2 21 33 15 1 0.0082791
2 21 33 19 1 0.00790414
